DateTime,Biomass,Demand,Fossil,Nuclear,Solar,Wind
2021-03-06,113.07247,1088.82537375,534.0878275,191.45403,169.52308,280.81588
2021-03-07,111.684005,1036.200009375,508.98839250000003,191.812925,136.511345,356.2661725
2021-03-08,111.8489825,1260.12126375,799.1028325,195.6998525,156.8267825,80.5259725
2021-03-09,110.9875475,1305.171560625,860.8911375,195.6820075,112.880785,90.1187575
2021-03-10,111.2505975,1304.70919,644.2460275,192.2630825,103.72645,374.742445
2021-03-11,107.7202725,1341.29772125,270.6242475,182.21451249999998,63.773685,1012.5510425
2021-03-12,109.71538,1300.97345875,242.98388,181.9978375,122.292145,971.6512299999999
2021-03-13,109.435025,1149.36763875,209.794325,161.1361625,71.317385,998.799815
2021-03-14,110.21377749999999,1063.433344375,216.5907275,184.802235,89.7359225,719.2552375
2021-03-15,110.63295,1284.177176875,417.083255,189.309705,82.65621250000001,648.287255
2021-03-16,111.11925749999999,1301.675091875,601.19725,193.86086,92.9147425,389.1866175
2021-03-17,111.86942499999999,1293.143088125,697.468065,195.547265,90.7161,152.287785
2021-03-18,112.176025,1289.488168125,759.22425,195.84134,114.2993575,77.2646775
2021-03-19,112.4602775,1280.38950875,617.13742,191.4545,111.738765,261.0808975
2021-03-20,112.0469575,1102.467700625,505.1326775,160.3971,145.316375,303.834285
2021-03-21,108.133835,1047.2744525,382.75514,152.82271,75.99586000000001,648.1014375
2021-03-22,104.4181275,1274.2489325,705.2460925,162.306535,105.1876375,240.0735325
2021-03-23,104.421065,1282.745559375,798.947725,162.13892,79.3692225,164.7668
2021-03-24,103.87525,1265.122706875,687.2667749999999,159.9342975,204.50812,211.054365
2021-03-25,103.9991125,1244.065895,728.962425,161.9542475,186.55191250000001,134.9109175
2021-03-26,109.54741,1214.513304375,470.43049,158.6282125,195.6321875,398.6445425
2021-03-27,110.9471525,1089.68521875,251.2733625,146.84281000000001,131.7978325,724.7058475
2021-03-28,110.921215,998.009578125,244.61001,147.37158,170.50414,614.0648925
2021-03-29,110.3828625,1205.8986575000001,358.3100975,157.8171625,208.342495,560.2447925
2021-03-30,109.547305,1203.349385625,511.516345,160.31046750000002,243.4079475,180.4591125
2021-03-31,108.998695,1184.211056875,555.7694725,160.308905,239.85123000000002,48.1634725
2021-04-01,109.1482475,1159.8769275,440.1709975,158.629675,182.5267325,326.72330750000003
2021-04-02,110.1178,975.40798875,256.3176425,155.986185,168.0982175,446.8765775
2021-04-03,111.0886275,973.3455775,221.09785,160.0437775,174.1719125,303.644515
2021-04-04,110.94494,914.711181875,214.3422575,158.2555425,194.19093,359.4770075
2021-04-05,108.3233725,1011.1881856250001,198.638005,142.543495,109.346915,798.0331075
2021-04-06,110.1832775,1267.588590625,359.6370975,157.946695,133.0113825,670.070115
2021-04-07,110.98147250000001,1322.058869375,453.24806,159.058905,98.38323,717.1811825
2021-04-08,112.019395,1269.346089375,521.5995775,159.298055,140.75456,550.677145
2021-04-09,112.181035,1231.175251875,490.0227575,159.091405,195.6652375,447.176415
2021-04-10,111.4707575,1041.482703125,522.7499675,159.48212,122.3696025,191.4014675
2021-04-11,110.35562,1001.308044375,387.33527250000003,155.3993225,147.25757,422.041965
2021-04-12,110.06330750000001,1252.19683625,723.0382625,155.2906075,119.8828975,302.2834575
2021-04-13,109.3576,1281.55821375,685.91232,155.29752,182.173885,344.4346975
2021-04-14,110.17376,1270.198585,762.6569875,156.421405,179.9924125,162.6845775
